C0,C1,r,delta,theta,thetaG,alpha_0,beta_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,backfiring_flag
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.0,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.01,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.02,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.03,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.04,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.05,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.06,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.07,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.08,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.09,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.1,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.11,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.75,0.12,0,0.375,0.375,0.5,0.5,0.46875,0.21875,unconstrained,unconstrained,0
